nro_identificacion;bgi_30;acierta_plus;score_trview;edad_cliente;INGRESOS;cupo_max_TDC;tiene_telcos;tiene_real;tiene_coop;ant_max;ant_real;ant_telcos;meses_ultima_apr_tdc;meses_ultima_apr_cab;num_tdc;util_tdc_rot;cant_mora_30;cant_mora_60;telcos;ciudad_exp;entidad_cupo_max;nro_ahor_mer;nro_corr_mer;nro_cons_2m_tdc_mer;nro_cons_2m_cab_mer;sector_real
2933;1;749;147;50;4248000;2610000;1;0;0;4.17;-1.00;9.00;20,73333333;67,4;1;0,694752968;0;0;5;IBAGUE;TUYA S.A.;0.00;0.00;0;1;0
2934;0;806;130;36;7891000;0;1;1;1;0.58;0.25;4.08;NULL;24,73333333;0;0;0;0;1;BARICHARA;;0.00;0.00;0;1;1
2935;0;733;146;50;4438000;0;0;1;0;3.92;9.08;-1.00;NULL;NULL;0;0;0;0;0;BUCARAMANGA;;0.00;2.00;0;0;2
2936;0;765;35;58;3701000;5600000;0;1;0;1.67;0.25;-1.00;26,76666667;37,93333333;2;0,62547145;0;0;0;GIRON;BANCOLOMBIA VISA;2.00;2.00;2;0;1
2937;1;727;133;50;3105000;0;1;1;0;-1.00;0.25;3.67;NULL;NULL;0;0;0;0;2;SAN GIL;;0.00;0.00;0;0;1
2938;1;740;14;40;1739000;1102000;1;1;0;-1.00;0.25;1.25;NULL;NULL;1;0;0;0;2;BUENAVENTURA;CREDIVALORES CREDIUNO;0.00;2.00;0;1;1
2939;0;480;108;55;1490000;1600000;0;1;0;3.58;9.00;-1.00;61,26666667;NULL;1;0;1;0;0;BUENAVENTURA;CREDIVALORES CREDIUNO;0.00;0.00;0;0;2
2940;0;762;35;22;1656000;491000;1;0;0;0.33;-1.00;1.25;19,7;NULL;1;0,286585366;0;0;1;VITERBO;TUYA S.A.;0.00;4.00;2;2;0
2941;0;721;89;37;2923000;0;1;1;1;-1.00;1.33;10.08;NULL;NULL;0;0;0;0;3;POLONUEVO;;0.00;0.00;0;1;2
2942;0;793;170;60;12454000;14600000;0;1;0;16.33;2.17;-1.00;23,73333333;NULL;4;0,227633262;0;0;0;HELICONIA;BCO COLPATRIA;2.00;6.00;0;0;2
2943;0;705;84;55;2583000;2800000;0;1;0;0.25;0.83;-1.00;19,7;NULL;1;0,96465548;0;0;0;TURBACO;BCO COLPATRIA;0.00;0.00;0;0;1
2944;0;446;148;48;2277000;0;0;1;0;0.67;10.25;-1.00;NULL;NULL;0;0;0;0;0;TURBACO;;0.00;2.00;0;0;2
2945;0;705;93;38;1846000;0;1;1;0;0.25;1.92;1.92;NULL;22,7;0;0;0;0;1;SARDINATA;;0.00;2.00;0;0;1
